@iter
unbpe finished for wait 1..10(catchup) for both dev/test set
----------BLEU on dev----------
4 refences
wait_8  BLEU = 0.73, 59.1/25.4/12.5/7.0 (BP=0.038, ratio=0.235, hyp_len=5524, ref_len=23554)
wait_9  BLEU = 0.30, 61.6/27.3/12.8/6.8 (BP=0.015, ratio=0.193, hyp_len=4555, ref_len=23554)
wait_10  BLEU = 0.14, 61.9/27.4/13.1/7.4 (BP=0.007, ratio=0.167, hyp_len=3923, ref_len=23554)
------3 ref BLEU on dev------
ref 1 2 3
tgt 0   BLEU = 45.32, 82.3/55.6/37.6/25.5 (BP=0.990, ratio=0.990, hyp_len=22601, ref_len=22823)
wait 1  BLEU = 29.07, 69.3/39.2/22.6/13.4 (BP=0.966, ratio=0.967, hyp_len=22402, ref_len=23169)
wait 2  BLEU = 28.76, 70.5/40.5/24.2/15.1 (BP=0.901, ratio=0.905, hyp_len=20818, ref_len=22998)
wait 3  BLEU = 24.56, 71.2/41.1/24.3/14.9 (BP=0.765, ratio=0.789, hyp_len=18022, ref_len=22845)
wait 4  BLEU = 15.92, 74.0/43.7/26.8/16.9 (BP=0.458, ratio=0.561, hyp_len=12422, ref_len=22133)
wait 5  BLEU = 8.61, 74.9/45.2/27.9/17.9 (BP=0.239, ratio=0.411, hyp_len=8956, ref_len=21783)
wait 6  BLEU = 5.07, 75.9/45.4/28.6/18.4 (BP=0.138, ratio=0.336, hyp_len=7241, ref_len=21559)
wait 7  BLEU = 0.80, 77.6/48.2/32.4/21.8 (BP=0.020, ratio=0.203, hyp_len=4349, ref_len=21396)
wait 8  BLEU = 2.16, 76.1/46.5/30.5/20.5 (BP=0.056, ratio=0.258, hyp_len=5524, ref_len=21436)
wait 9  BLEU = 0.99, 78.0/48.4/32.0/21.4 (BP=0.025, ratio=0.213, hyp_len=4555, ref_len=21424)
wait 10  BLEU = 0.48, 77.7/48.8/32.6/22.8 (BP=0.012, ratio=0.183, hyp_len=3923, ref_len=21407)
ref 0 2 3
tgt 1   BLEU = 37.85, 75.5/47.2/30.0/19.2 (BP=1.000, ratio=1.027, hyp_len=24169, ref_len=23526)
wait 1  BLEU = 29.87, 68.1/39.1/23.1/13.9 (BP=0.982, ratio=0.982, hyp_len=22402, ref_len=22813)
wait 2  BLEU = 29.04, 69.7/40.1/24.2/15.2 (BP=0.913, ratio=0.917, hyp_len=20818, ref_len=22714)
wait 3  BLEU = 25.14, 69.8/40.7/24.8/15.5 (BP=0.778, ratio=0.800, hyp_len=18022, ref_len=22539)
wait 4  BLEU = 16.24, 73.0/43.3/27.0/17.1 (BP=0.467, ratio=0.568, hyp_len=12422, ref_len=21871)
wait 5  BLEU = 8.90, 74.2/44.8/28.0/18.0 (BP=0.247, ratio=0.417, hyp_len=8956, ref_len=21464)
wait 6  BLEU = 5.33, 75.4/45.6/29.4/18.8 (BP=0.144, ratio=0.340, hyp_len=7241, ref_len=21297)
wait 7  BLEU = 0.86, 76.8/48.5/33.3/22.1 (BP=0.021, ratio=0.206, hyp_len=4349, ref_len=21110)
wait 8  BLEU = 2.25, 75.5/45.9/30.4/20.2 (BP=0.059, ratio=0.261, hyp_len=5524, ref_len=21164)
wait 9  BLEU = 1.05, 77.7/48.3/32.3/21.0 (BP=0.026, ratio=0.215, hyp_len=4555, ref_len=21144)
wait 10  BLEU = 0.51, 77.6/48.9/32.6/21.9 (BP=0.012, ratio=0.186, hyp_len=3923, ref_len=21125)
ref 0 1 3
tgt 2   BLEU = 41.00, 79.3/51.1/33.6/22.4 (BP=0.980, ratio=0.981, hyp_len=22421, ref_len=22864)
wait 1  BLEU = 30.05, 69.3/39.9/23.6/14.5 (BP=0.963, ratio=0.964, hyp_len=22402, ref_len=23240)
wait 2  BLEU = 29.55, 70.6/41.0/25.0/16.1 (BP=0.900, ratio=0.905, hyp_len=20818, ref_len=23013)
wait 3  BLEU = 25.26, 71.1/41.8/25.4/16.1 (BP=0.761, ratio=0.786, hyp_len=18022, ref_len=22943)
wait 4  BLEU = 16.01, 74.0/43.9/27.4/17.6 (BP=0.452, ratio=0.558, hyp_len=12422, ref_len=22279)
